Mannen;;;;;
Categorie;Plaats;Atleet;Tijd;Verschil tov nr 3 ;% TOV nr 3
Beste tijd 2016 Senioren Internationaal;;;Sec.;in Sec;
;1;Gatlin;9,8;-0,04;-0,41%
;2;Bolt;9,81;-0,03;-0,30%
;3;Bromell;9,84;0;0,00%
Beste tijd 2016 laatste grote Toernooi;;;;;
;1;Bolt;9,81;-0,03;-0,30%
;2;Gatlin;9,89;0,05;0,51%
;3;De Grasse;9,91;0,07;0,71%
Beste tijd 2016 Senioren Nederland;;;;;
;1;Martina;10,01;0,17;1,73%
;2;Bockarie;10,13;0,29;2,95%
;3;Paulina;10,23;0,39;3,96%
NK 2016 Senioren Nederland;;;;;
;1;Martina;10,11;0,27;2,74%
;2;Bockarie;10,21;0,37;3,76%
;3;Paulina;10,39;0,55;5,59%
Beste tijd 2016 JA Internationaal;;;;;
;1;Mohammed;10,04;-0,12;-1,18%
;2;Ellis;10,16;0;0,00%
;3;Lyles;10,16;0;0,00%
Beste tijd 2016 JA Nederland;;;;;
;1;van Gool;10,53;0,37;3,64%
;2;Afrifa;10,62;0,46;4,53%
;3;Bouwmeester;10,65;0,49;4,82%
Beste tijd 2016 JB Internationaal;;;;;
;1;Sani Brown;10,22;-0,09;-0,87%
;2;Matherson;10,25;-0,06;-0,58%
;3;Miyamoto;10,31;0;0,00%
Beste tijd 2016 JB Nederland;;;;;
;1;Haverkamp;10,79;0,48;4,66%
;2;Lubberdink;10,92;0,61;5,92%
;3;Levi Hazes;11,11;0,8;7,76%
